マンション名,都,区,区域,間取り,間取りDK,間取りK,間取りL,間取りS,築年数,建物高さ,階,専有面積,賃料+管理費,敷/礼,路線1,駅1,徒歩1,賃料,管理費,敷金,礼金
コンフォリア二番町,東京都,千代田区,二番町,1,0,0,0,0,17,15,13,36,175000,165000,東京メトロ有楽町線,麹町駅,5,165000,10000,165000,0
コンフォリア秋葉原イースト,東京都,千代田区,東神田２,1,0,0,0,0,7,12,6,25,124000,118000,ＪＲ山手線,秋葉原駅,8,118000,6000,118000,0
グランジット千代田秋葉原,東京都,千代田区,神田佐久間町４,1,1,0,1,0,1,12,2,33,154000,290000,東京メトロ日比谷線,秋葉原駅,5,145000,9000,145000,145000
グレンパーク秋葉原イースト,東京都,千代田区,岩本町３,1,0,0,0,0,19,13,9,26,105000,186000,都営新宿線,岩本町駅,3,93000,12000,93000,93000
パトリア九段下,東京都,千代田区,九段北１,1,0,0,0,0,17,14,2,25,110000,100000,東京メトロ東西線,九段下駅,1,100000,10000,100000,0
東京メトロ東西線九段下駅15階建新築,東京都,千代田区,九段北１,1,0,0,0,0,0,15,2,25,136000,0,東京メトロ東西線,九段下駅,1,128000,8000,0,0
東京メトロ半蔵門線半蔵門駅地下1地上14階建築16年,東京都,千代田区,一番町,1,1,0,1,0,16,14,4,47,279000,518000,東京メトロ半蔵門線,半蔵門駅,2,259000,20000,259000,259000
都営三田線神保町駅9階建築19年,東京都,千代田区,神田神保町１,1,0,0,0,0,19,9,8,22,122500,112000,都営三田線,神保町駅,2,112000,10500,0,112000
アウラ九段,東京都,千代田区,九段南３,1,0,0,0,0,23,7,4,22,93000,0,都営新宿線,市ケ谷駅,5,87000,6000,0,0
プライムアーバン飯田橋,東京都,千代田区,飯田橋４,1,0,0,0,0,18,14,2,22,100000,94000,ＪＲ中央線,飯田橋駅,1,94000,6000,94000,0
ＪＲ総武線市ケ谷駅12階建築15年,東京都,千代田区,九段南３,1,0,0,0,0,15,12,4,29,150000,280000,ＪＲ総武線,市ケ谷駅,10,140000,10000,140000,140000
フォレシティ秋葉原,東京都,千代田区,神田佐久間町３,1,0,0,0,0,20,12,3,22,100000,0,東京メトロ日比谷線,秋葉原駅,2,93000,7000,0,0
都営新宿線岩本町駅13階建築3年,東京都,千代田区,岩本町２,1,0,0,0,0,3,13,2,27,119000,109000,都営新宿線,岩本町駅,5,109000,10000,109000,0
東京メトロ丸ノ内線大手町駅地下1地上13階建築20年,東京都,千代田区,神田錦町１,1,0,0,0,0,20,13,5,24,100000,89000,東京メトロ丸ノ内線,大手町駅,6,89000,11000,0,89000
ＪＲ総武線快速馬喰町駅8階建築20年,東京都,千代田区,東神田１,1,0,0,0,0,20,8,4,22,95000,0,ＪＲ総武線快速,馬喰町駅,6,80000,15000,0,0
ＪＲ総武線市ケ谷駅13階建築5年,東京都,千代田区,九段南２,1,1,0,1,0,5,13,2,40,178000,332000,ＪＲ総武線,市ケ谷駅,8,166000,12000,166000,166000
Ｒｕｙｇｏ御茶ノ水,東京都,千代田区,神田猿楽町２,1,0,0,0,0,0,5,5,20,114000,0,東京メトロ半蔵門線,神保町駅,6,104000,10000,0,0
東京メトロ半蔵門線半蔵門駅9階建築17年,東京都,千代田区,麹町２,1,0,0,0,0,17,9,3,40,171000,322000,東京メトロ半蔵門線,半蔵門駅,2,161000,10000,161000,161000
東京メトロ銀座線神田駅11階建築7年,東京都,千代田区,外神田２,1,0,0,0,0,7,11,3,25,139000,262000,東京メトロ銀座線,神田駅,10,131000,8000,131000,131000
東京メトロ半蔵門線九段下駅12階建築26年,東京都,千代田区,神田神保町３,1,0,0,0,0,26,12,9,22,96000,172000,東京メトロ半蔵門線,九段下駅,2,86000,10000,86000,86000
ＪＲ山手線秋葉原駅12階建築22年,東京都,千代田区,神田佐久間町４,1,0,0,0,0,22,12,4,20,99500,89000,ＪＲ山手線,秋葉原駅,6,89000,10500,0,89000
ドルチェ秋葉原イースト,東京都,千代田区,東神田３,1,0,0,0,0,16,10,4,24,90000,164000,ＪＲ総武線,浅草橋駅,1,82000,8000,82000,82000
東京メトロ半蔵門線大手町駅14階建築18年,東京都,千代田区,神田錦町１,1,0,0,0,0,18,14,9,24,108000,98000,東京メトロ半蔵門線,大手町駅,5,98000,10000,98000,0
スカイコート神田第３,東京都,千代田区,東神田１,1,0,0,0,0,18,12,4,22,88000,162000,都営新宿線,岩本町駅,6,81000,7000,81000,81000
リヴシティ秋葉原,東京都,千代田区,岩本町３,1,0,0,0,0,19,12,4,24,106000,0,東京メトロ日比谷線,秋葉原駅,6,96000,10000,0,0
ＪＲ総武線飯田橋駅14階建築18年,東京都,千代田区,飯田橋４,1,0,0,0,0,18,14,6,22,105000,198000,ＪＲ総武線,飯田橋駅,1,99000,6000,99000,99000
麹町MCM,東京都,千代田区,麹町１,1,0,0,0,0,22,7,2,39,142000,264000,東京メトロ半蔵門線,半蔵門駅,1,132000,10000,132000,132000
ガラ・グランディ大手町,東京都,千代田区,神田錦町１,1,0,0,0,0,20,13,3,23,98000,222500,東京メトロ千代田線,大手町駅,6,89000,9000,89000,133500
秋葉原アークビル,東京都,千代田区,外神田４,1,0,0,0,0,11,10,10,20,87000,0,東京メトロ日比谷線,秋葉原駅,7,81000,6000,0,0
東京メトロ日比谷線秋葉原駅地下1地上10階建築11年,東京都,千代田区,外神田４,1,0,0,0,0,11,10,9,20,96000,0,東京メトロ日比谷線,秋葉原駅,7,90000,6000,0,0
コンフォートＫ神保町,東京都,千代田区,神田神保町１,1,0,0,0,0,19,4,3,27,106000,202000,東京メトロ半蔵門線,神保町駅,1,101000,5000,101000,101000
平河町プラザ,東京都,千代田区,平河町１,1,1,0,0,0,46,8,4,24,100000,194000,東京メトロ半蔵門線,半蔵門駅,3,97000,3000,97000,97000
ケーズ麹町,東京都,千代田区,麹町１,1,0,0,0,0,18,9,2,32,148000,276000,東京メトロ半蔵門線,半蔵門駅,1,138000,10000,138000,138000
パレステュディオ御茶ノ水駿河台弐番館,東京都,千代田区,神田錦町３,1,0,0,0,0,21,9,6,22,93000,84500,東京メトロ丸ノ内線,淡路町駅,5,84500,8500,0,84500
ＪＲ中央線御茶ノ水駅8階建築7年,東京都,千代田区,神田猿楽町１,1,0,0,0,0,7,8,2,21,107000,99000,ＪＲ中央線,御茶ノ水駅,7,99000,8000,99000,0
シティカレント大手町,東京都,千代田区,神田錦町１,1,0,0,0,0,18,14,9,24,108000,98000,東京メトロ東西線,大手町駅,5,98000,10000,98000,0
東京メトロ半蔵門線半蔵門駅10階建築40年,東京都,千代田区,隼町,1,0,0,0,0,40,10,4,27,102000,196000,東京メトロ半蔵門線,半蔵門駅,4,98000,4000,98000,98000
都営新宿線小川町駅8階建築20年,東京都,千代田区,神田淡路町１,1,0,0,0,0,20,8,6,23,98000,184000,都営新宿線,小川町駅,1,92000,6000,92000,92000
ＱＵＥＳＴ　ＳＱＵＡＲＥ　ＴＡＴＥＮＯ,東京都,千代田区,神田猿楽町２,1,0,0,0,0,20,5,2,24,94000,178000,ＪＲ総武線,水道橋駅,7,89000,5000,89000,89000
ＪＲ中央線御茶ノ水駅12階建新築,東京都,千代田区,神田神保町１,1,0,0,0,0,0,12,11,22,118000,108000,ＪＲ中央線,御茶ノ水駅,8,108000,10000,108000,0
都営新宿線岩本町駅14階建築20年,東京都,千代田区,岩本町２,1,0,0,0,0,20,14,12,22,95000,0,都営新宿線,岩本町駅,7,87000,8000,0,0
東京メトロ東西線九段下駅10階建築23年,東京都,千代田区,九段北１,1,0,0,0,0,23,10,8,24,116500,106000,東京メトロ東西線,九段下駅,1,106000,10500,0,106000
ＪＲ総武線御茶ノ水駅12階建築43年,東京都,千代田区,神田小川町３,1,0,0,0,0,43,12,2,14,68000,0,ＪＲ総武線,御茶ノ水駅,10,63000,5000,0,0
ＪＲ中央線御茶ノ水駅地下3地上41階建築10年,東京都,千代田区,神田淡路町２,2,1,0,1,0,10,41,38,77,460000,1320000,ＪＲ中央線,御茶ノ水駅,6,440000,20000,440000,880000
グランド・ガーラ神田,東京都,千代田区,神田多町２,1,0,0,0,0,16,13,7,22,104500,286500,東京メトロ銀座線,神田駅,2,95500,9000,95500,191000
ＪＲ中央線御茶ノ水駅5階建築20年,東京都,千代田区,神田猿楽町２,1,0,0,0,0,20,5,2,24,94000,178000,ＪＲ中央線,御茶ノ水駅,7,89000,5000,89000,89000
パレステュディオ九段北の丸,東京都,千代田区,九段南２,1,0,0,0,0,20,10,3,23,95000,89000,東京メトロ東西線,九段下駅,8,89000,6000,0,89000
都営新宿線岩本町駅5階建築19年,東京都,千代田区,岩本町３,1,0,0,0,0,19,5,3,21,90000,160000,都営新宿線,岩本町駅,3,80000,10000,80000,80000
東京メトロ東西線九段下駅10階建築42年,東京都,千代田区,神田神保町３,1,0,0,0,0,42,10,6,16,75000,138000,東京メトロ東西線,九段下駅,3,69000,6000,69000,69000
東京メトロ半蔵門線神保町駅地下1地上5階建新築,東京都,千代田区,神田猿楽町２,1,0,0,0,0,0,5,5,20,114000,0,東京メトロ半蔵門線,神保町駅,6,104000,10000,0,0
インペリアル御茶ノ水,東京都,千代田区,神田小川町３,1,0,0,0,0,43,11,3,14,68000,0,ＪＲ中央線,御茶ノ水駅,11,63000,5000,0,0
グローリア平河町,東京都,千代田区,平河町１,1,0,0,0,0,39,9,4,27,125000,0,東京メトロ半蔵門線,半蔵門駅,2,115000,10000,0,0
ＪＲ山手線秋葉原駅10階建築7年,東京都,千代田区,外神田２,1,0,0,0,0,7,10,4,25,130000,240000,ＪＲ山手線,秋葉原駅,10,120000,10000,120000,120000
ハイツ神田岩本町,東京都,千代田区,東神田１,1,0,0,0,0,42,11,11,22,70000,128000,ＪＲ総武線快速,馬喰町駅,3,64000,6000,64000,64000
東京メトロ千代田線大手町駅12階建築3年,東京都,千代田区,神田錦町３,1,1,0,1,0,3,12,7,41,192000,576000,東京メトロ千代田線,大手町駅,10,192000,0,192000,384000
ＪＲ総武線飯田橋駅地下2地上40階建築9年,東京都,千代田区,富士見２,1,1,0,1,0,9,40,8,42,295000,840000,ＪＲ総武線,飯田橋駅,3,280000,15000,280000,560000
東京メトロ丸ノ内線御茶ノ水駅9階建築48年,東京都,千代田区,神田駿河台１,1,0,0,0,0,48,9,6,15,75000,0,東京メトロ丸ノ内線,御茶ノ水駅,5,75000,0,0,0
リブ九段,東京都,千代田区,九段北１,1,0,0,0,0,42,7,4,34,120000,220000,東京メトロ東西線,九段下駅,1,110000,10000,110000,110000
ＪＲ総武線市ケ谷駅9階建築42年,東京都,千代田区,一番町,1,0,0,0,0,42,9,6,27,50000,50000,ＪＲ総武線,市ケ谷駅,13,50000,0,0,50000
サクレ九段上,東京都,千代田区,九段南２,1,1,0,1,0,5,13,2,40,178000,332000,東京メトロ南北線,市ケ谷駅,7,166000,12000,166000,166000
ＪＲ山手線秋葉原駅9階建築27年,東京都,千代田区,神田佐久間町４,1,0,0,0,0,27,9,3,27,93000,83000,ＪＲ山手線,秋葉原駅,8,83000,10000,83000,0
パークコート千代田富士見ザタワー,東京都,千代田区,富士見２,1,1,0,1,0,9,40,8,42,295000,840000,ＪＲ中央線,飯田橋駅,3,280000,15000,280000,560000
番町ハイム,東京都,千代田区,二番町,1,0,0,0,0,51,11,1,14,69900,118000,東京メトロ有楽町線,麹町駅,2,59000,10900,59000,59000
ＪＲ総武線浅草橋駅13階建築17年,東京都,千代田区,東神田２,1,0,0,0,0,17,13,2,29,119000,114000,ＪＲ総武線,浅草橋駅,5,114000,5000,114000,0
ＪＲ山手線神田駅10階建築21年,東京都,千代田区,岩本町１,1,0,0,0,0,21,10,9,22,88000,83000,ＪＲ山手線,神田駅,9,83000,5000,0,83000
ユニパリス一番町,東京都,千代田区,一番町,1,0,0,0,0,42,9,6,27,50000,50000,東京メトロ半蔵門線,半蔵門駅,2,50000,0,0,50000
ＪＲ中央線市ケ谷駅地下2地上14階建築20年,東京都,千代田区,三番町,3,1,0,1,0,20,14,12,98,500000,1440000,ＪＲ中央線,市ケ谷駅,14,480000,20000,960000,480000
ＪＲ総武線市ケ谷駅地下2地上17階建築16年,東京都,千代田区,四番町,2,1,0,1,0,16,17,8,63,350000,1050000,ＪＲ総武線,市ケ谷駅,3,350000,0,700000,350000
ロイジェント東神田,東京都,千代田区,東神田１,1,0,0,0,0,5,13,5,27,129000,119000,ＪＲ山手線,秋葉原駅,9,119000,10000,119000,0
ヴェルステージ神田,東京都,千代田区,岩本町１,1,0,0,0,0,21,10,9,23,85000,170000,ＪＲ山手線,神田駅,9,85000,0,85000,85000
メゾン・ド・ヴィレ東神田,東京都,千代田区,東神田１,1,0,0,0,0,20,13,7,27,92000,0,ＪＲ山手線,神田駅,12,83000,9000,0,0
ＪＲ山手線神田駅13階建築20年,東京都,千代田区,東神田１,1,0,0,0,0,20,13,7,27,92000,0,ＪＲ山手線,神田駅,10,83000,9000,0,0
ＪＲ山手線神田駅13階建築19年,東京都,千代田区,岩本町２,1,0,0,0,0,19,13,7,25,108000,98000,ＪＲ山手線,神田駅,10,98000,10000,98000,0
パークコート千代田一番町,東京都,千代田区,一番町,1,0,0,0,0,0,14,3,31,195000,390000,東京メトロ半蔵門線,半蔵門駅,3,195000,0,195000,195000
アトリアム二番町,東京都,千代田区,二番町,3,1,0,1,0,18,4,3,124,850000,2550000,東京メトロ有楽町線,麹町駅,3,850000,0,1700000,850000
分譲賃貸マンション　一番町　食洗器付き,東京都,千代田区,一番町,2,1,0,1,0,5,15,4,95,530000,1590000,東京メトロ半蔵門線,半蔵門駅,3,530000,0,1060000,530000
ＪＲ総武線四ツ谷駅14階建築5年,東京都,千代田区,平河町１,1,1,0,1,0,5,14,3,40,182000,501000,ＪＲ総武線,四ツ谷駅,13,167000,15000,334000,167000
東京メトロ有楽町線市ケ谷駅14階建新築,東京都,千代田区,四番町,3,1,0,1,0,0,14,5,80,770000,2310000,東京メトロ有楽町線,市ケ谷駅,5,770000,0,1540000,770000
アルベルゴ御茶ノ水,東京都,千代田区,神田駿河台２,1,0,0,0,0,46,11,7,14,73000,140000,ＪＲ中央線,御茶ノ水駅,1,70000,3000,70000,70000
ＪＲ中央線神田駅8階建築20年,東京都,千代田区,東神田１,1,0,0,0,0,20,8,4,22,95000,0,ＪＲ中央線,神田駅,10,80000,15000,0,0
ＪＲ中央線市ケ谷駅8階建築24年,東京都,千代田区,九段南３,1,0,0,0,0,24,8,2,25,110000,210000,ＪＲ中央線,市ケ谷駅,9,105000,5000,105000,105000
リバーレ九段南,東京都,千代田区,九段南３,1,0,0,0,0,24,8,2,25,110000,210000,ＪＲ中央線,市ケ谷駅,9,105000,5000,105000,105000
アイル大手町,東京都,千代田区,神田錦町２,1,0,0,0,0,8,9,3,25,126000,232000,東京メトロ東西線,竹橋駅,6,116000,10000,116000,116000
東京メトロ半蔵門線半蔵門駅地下1地上7階建築22年,東京都,千代田区,一番町,3,1,0,1,0,22,7,5,75,356000,660000,東京メトロ半蔵門線,半蔵門駅,3,330000,26000,330000,330000
栄ビル,東京都,千代田区,平河町２,1,0,0,0,0,60,5,3,26,170500,148500,東京メトロ有楽町線,永田町駅,1,148500,22000,0,148500
フォーシーズンズグランデ一番町,東京都,千代田区,一番町,3,1,0,1,0,22,14,10,120,670000,2010000,東京メトロ半蔵門線,半蔵門駅,3,670000,0,1340000,670000
朝日九段マンション,東京都,千代田区,九段北１,1,0,0,0,0,45,13,11,18,74160,68000,東京メトロ東西線,九段下駅,1,68000,6160,68000,0
東京メトロ銀座線末広町駅地下1地上40階建築19年,東京都,千代田区,外神田４,1,1,0,1,0,19,40,7,55,240000,450000,東京メトロ銀座線,末広町駅,2,225000,15000,225000,225000
ベルファース秋葉原,東京都,千代田区,神田練塀町,1,1,0,1,0,18,19,17,50,225000,450000,ＪＲ山手線,秋葉原駅,4,225000,0,450000,0
パークタワー秋葉原,東京都,千代田区,神田練塀町,2,1,0,1,0,17,22,16,59,268000,759000,ＪＲ山手線,秋葉原駅,4,253000,15000,253000,506000
東京メトロ東西線九段下駅13階建築45年,東京都,千代田区,九段北１,1,0,0,0,0,45,13,11,18,74160,68000,東京メトロ東西線,九段下駅,1,68000,6160,68000,0
フェリス松本九段,東京都,千代田区,九段南３,1,0,0,0,0,36,7,4,20,77000,69000,ＪＲ中央線,市ケ谷駅,9,69000,8000,69000,0
ＪＲ総武線市ケ谷駅13階建築52年,東京都,千代田区,五番町,3,1,0,1,0,52,13,11,98,350000,693000,ＪＲ総武線,市ケ谷駅,4,330000,20000,330000,363000
ＪＲ総武線市ケ谷駅13階建築52年,東京都,千代田区,五番町,3,1,0,1,0,52,13,1,98,350000,693000,ＪＲ総武線,市ケ谷駅,4,330000,20000,330000,363000
ＪＲ山手線秋葉原駅11階建築17年,東京都,千代田区,神田佐久間町４,1,1,0,1,0,17,11,3,59,189000,378000,ＪＲ山手線,秋葉原駅,7,189000,0,189000,189000
プラウドフラット東神田,東京都,千代田区,東神田１,1,0,0,0,0,8,13,5,30,139000,131000,ＪＲ総武線快速,馬喰町駅,3,131000,8000,131000,0
ＪＲ中央線東京駅14階建築3年,東京都,千代田区,内神田３,1,0,0,0,0,3,14,8,32,149500,141000,ＪＲ中央線,東京駅,13,141000,8500,0,141000
KDXレジデンス神田,東京都,千代田区,内神田２,1,0,0,0,0,8,13,4,26,140000,260000,ＪＲ山手線,神田駅,3,130000,10000,130000,130000
東京メトロ半蔵門線半蔵門駅地下1地上16階建築9年,東京都,千代田区,平河町２,1,1,0,1,0,9,16,2,40,220000,440000,東京メトロ半蔵門線,半蔵門駅,7,220000,0,220000,220000
二番町パークフォレスト,東京都,千代田区,二番町,2,1,0,1,0,19,14,14,130,630000,2520000,東京メトロ有楽町線,麹町駅,4,630000,0,1260000,1260000
東京メトロ銀座線神田駅12階建築5年,東京都,千代田区,神田司町２,2,1,0,1,0,5,12,6,44,259000,239000,東京メトロ銀座線,神田駅,5,239000,20000,239000,0
東京メトロ半蔵門線半蔵門駅地下1地上19階建築15年,東京都,千代田区,一番町,2,1,0,1,0,15,19,9,68,350000,670000,東京メトロ半蔵門線,半蔵門駅,2,335000,15000,335000,335000
ルミエール東神田,東京都,千代田区,東神田１,1,0,0,0,0,18,14,6,24,92000,84000,ＪＲ総武線快速,馬喰町駅,3,84000,8000,0,84000
三番町東急アパートメント,東京都,千代田区,三番町,3,1,0,1,0,23,11,10,208,1000000,2000000,東京メトロ半蔵門線,半蔵門駅,7,1000000,0,1000000,1000000
ＪＲ中央線飯田橋駅16階建築39年,東京都,千代田区,飯田橋４,3,1,0,1,0,39,16,16,72,250000,420000,ＪＲ中央線,飯田橋駅,1,210000,40000,210000,210000
飯田橋セントラルプラザ,東京都,千代田区,飯田橋４,3,1,0,1,0,39,16,16,72,250000,420000,ＪＲ中央線,飯田橋駅,1,210000,40000,210000,210000
ＪＲ中央線飯田橋駅16階建築40年,東京都,千代田区,飯田橋４,3,1,0,1,0,40,16,16,72,250000,420000,ＪＲ中央線,飯田橋駅,1,210000,40000,210000,210000
ＨＫ平河町,東京都,千代田区,平河町２,2,1,0,1,0,20,8,5,100,430000,1290000,東京メトロ有楽町線,永田町駅,4,430000,0,860000,430000
富士見イースト,東京都,千代田区,富士見２,1,1,0,1,0,17,5,5,54,245000,345000,ＪＲ総武線,飯田橋駅,5,230000,15000,345000,0
ＪＲ総武線飯田橋駅地下1地上5階建築17年,東京都,千代田区,富士見２,1,1,0,1,0,17,5,5,54,245000,345000,ＪＲ総武線,飯田橋駅,5,230000,15000,345000,0
都営新宿線岩本町駅地下1地上9階建築22年,東京都,千代田区,岩本町２,2,1,0,1,0,22,9,9,80,290000,560000,都営新宿線,岩本町駅,3,280000,10000,280000,280000
レジディア水道橋,東京都,千代田区,神田三崎町３,2,1,0,1,0,19,14,12,57,270000,510000,ＪＲ総武線,水道橋駅,5,255000,15000,255000,255000
ＪＲ中央線四ツ谷駅5階建新築,東京都,千代田区,五番町,1,1,0,1,0,0,5,2,39,218000,416000,ＪＲ中央線,四ツ谷駅,4,208000,10000,208000,208000
ＪＲ中央線四ツ谷駅地下2地上13階建築14年,東京都,千代田区,二番町,2,1,0,1,0,14,13,11,123,740000,1480000,ＪＲ中央線,四ツ谷駅,8,740000,0,1480000,0
NIBANCHOPARKFOREST,東京都,千代田区,二番町,2,1,0,1,0,20,14,14,130,630000,2520000,東京メトロ有楽町線,麹町駅,3,630000,0,1260000,1260000
ミレニアムガーデンコート,東京都,千代田区,二番町,1,1,0,1,0,23,17,3,53,320000,640000,東京メトロ有楽町線,麹町駅,4,320000,0,320000,320000
ノーブルコート平河町,東京都,千代田区,平河町２,2,1,0,1,0,20,8,7,82,325000,975000,東京メトロ半蔵門線,永田町駅,5,325000,0,650000,325000
東京メトロ半蔵門線神保町駅10階建築15年,東京都,千代田区,神田神保町３,1,0,0,0,0,15,10,9,30,132000,125000,東京メトロ半蔵門線,神保町駅,2,125000,7000,125000,0
S-RESIDENCE神田avanceエスレジデンス神田アバンス,東京都,千代田区,岩本町１,1,1,0,1,1,2,14,12,42,203000,193000,都営新宿線,馬喰横山駅,4,193000,10000,0,193000
ポローニア秋葉原,東京都,千代田区,神田佐久間町３,1,1,0,1,0,14,4,2,41,136260,520000,ＪＲ山手線,秋葉原駅,4,130000,6260,390000,130000
東京メトロ有楽町線市ケ谷駅13階建築5年,東京都,千代田区,五番町,2,1,0,1,0,5,13,8,79,516000,1488000,東京メトロ有楽町線,市ケ谷駅,2,496000,20000,992000,496000
アール平河町,東京都,千代田区,平河町２,3,1,0,0,0,40,4,3,53,199000,398000,東京メトロ南北線,永田町駅,3,199000,0,199000,199000
プレサンスロジェ千代田東神田,東京都,千代田区,東神田３,1,1,0,1,0,9,11,10,40,167000,310000,ＪＲ総武線,浅草橋駅,3,155000,12000,155000,155000
レジディア神田,東京都,千代田区,神田多町２,1,1,0,1,0,17,13,5,30,153000,286000,ＪＲ山手線,神田駅,3,143000,10000,143000,143000
ラシクラス麹町,東京都,千代田区,平河町１,2,1,0,0,0,0,10,4,40,265000,250000,東京メトロ半蔵門線,半蔵門駅,4,250000,15000,0,250000
東京メトロ東西線九段下駅13階建築10年,東京都,千代田区,飯田橋２,1,1,0,0,0,10,13,6,32,145000,278000,東京メトロ東西線,九段下駅,4,139000,6000,139000,139000
コープ野村一番町,東京都,千代田区,一番町,1,1,0,1,0,51,10,6,49,225000,225000,東京メトロ半蔵門線,半蔵門駅,2,225000,0,225000,0
シティインデックス秋葉原,東京都,千代田区,神田佐久間町３,1,1,0,1,0,11,10,9,33,148000,276000,ＪＲ山手線,秋葉原駅,3,138000,10000,138000,138000
ディームス大手町ノース,東京都,千代田区,神田多町２,1,1,0,1,0,3,12,2,37,201000,186000,ＪＲ山手線,神田駅,4,186000,15000,186000,0
ＪＲ山手線神田駅11階建築2年,東京都,千代田区,岩本町１,1,0,0,0,0,2,11,3,30,131000,0,ＪＲ山手線,神田駅,10,121000,10000,0,0
グレイスコート岩本町,東京都,千代田区,岩本町１,1,0,0,0,0,2,11,3,30,131000,0,ＪＲ総武線快速,馬喰町駅,4,121000,10000,0,0
都営新宿線岩本町駅25階建築5年,東京都,千代田区,神田東松下町,2,1,0,1,0,5,25,9,56,380000,696000,都営新宿線,岩本町駅,1,348000,32000,348000,348000
アルファグランデ千桜タワー,東京都,千代田区,神田東松下町,2,1,0,1,0,5,25,9,56,380000,696000,都営新宿線,岩本町駅,1,348000,32000,348000,348000
グラントゥルース神田岩本町,東京都,千代田区,岩本町２,1,0,0,0,0,18,13,11,31,113000,330000,東京メトロ日比谷線,小伝馬町駅,4,110000,3000,220000,110000
ＪＲ総武線市ケ谷駅地下1地上14階建新築,東京都,千代田区,四番町,2,1,0,1,0,0,14,8,55,388000,736000,ＪＲ総武線,市ケ谷駅,6,368000,20000,368000,368000
ＪＲ総武線飯田橋駅5階建築1年,東京都,千代田区,富士見２,1,0,0,0,0,1,5,5,21,118000,220000,ＪＲ総武線,飯田橋駅,5,110000,8000,110000,110000
ＪＲ山手線神田駅10階建築16年,東京都,千代田区,神田紺屋町,1,1,0,1,0,16,10,10,51,239000,458000,ＪＲ山手線,神田駅,4,229000,10000,229000,229000
萩原ビル,東京都,千代田区,東神田３,1,1,0,1,0,43,7,5,36,163000,296000,都営浅草線,浅草橋駅,4,148000,15000,148000,148000
ＪＲ山手線神田駅11階建築10年,東京都,千代田区,岩本町２,1,0,0,0,0,10,11,10,24,115000,0,ＪＲ山手線,神田駅,9,105000,10000,0,0
LBOX神田　エルボックス神田,東京都,千代田区,神田須田町１,1,1,0,1,0,8,8,5,42,179000,354900,東京メトロ銀座線,神田駅,3,169000,10000,169000,185900
ＪＲ山手線神田駅8階建築8年,東京都,千代田区,神田須田町１,1,1,0,1,0,8,8,5,42,179000,354900,ＪＲ山手線,神田駅,3,169000,10000,169000,185900
レーヴ半蔵門,東京都,千代田区,隼町,1,1,0,0,0,7,13,3,33,205500,195000,東京メトロ半蔵門線,半蔵門駅,3,195000,10500,0,195000
東京メトロ日比谷線小伝馬町駅14階建築7年,東京都,千代田区,岩本町１,1,0,0,0,0,7,14,8,31,162000,151000,東京メトロ日比谷線,小伝馬町駅,3,151000,11000,151000,0
Ｌａ　Ｐｅｒｌａ岩本町,東京都,千代田区,岩本町２,1,1,0,1,0,3,9,7,36,165000,300000,都営新宿線,岩本町駅,5,150000,15000,150000,150000
九段下コート,東京都,千代田区,飯田橋２,2,1,0,1,0,35,4,4,56,175000,330000,ＪＲ中央線,飯田橋駅,5,165000,10000,165000,165000
ベルジューレ神保町,東京都,千代田区,神田神保町１,1,0,0,0,0,6,12,9,25,135000,250000,東京メトロ半蔵門線,神保町駅,3,125000,10000,125000,125000
東京メトロ有楽町線市ケ谷駅12階建築5年,東京都,千代田区,三番町,2,1,0,1,0,5,12,3,57,290000,290000,東京メトロ有楽町線,市ケ谷駅,7,290000,0,290000,0
パークハビオ飯田橋,東京都,千代田区,飯田橋２,1,0,0,0,0,8,13,8,25,139000,258000,東京メトロ東西線,九段下駅,3,129000,10000,129000,129000
カッシア神田レジデンス,東京都,千代田区,神田紺屋町,1,1,0,1,0,16,10,10,51,239000,458000,東京メトロ銀座線,神田駅,5,229000,10000,229000,229000
正栄ビル,東京都,千代田区,東神田３,2,1,0,0,0,35,4,4,38,125000,250000,ＪＲ総武線,浅草橋駅,4,125000,0,125000,125000
キグナスハウス神田神保町,東京都,千代田区,神田神保町１,1,0,0,0,0,0,10,8,22,127000,240000,都営新宿線,神保町駅,3,120000,7000,120000,120000
シーネクス千代田岩本町,東京都,千代田区,岩本町２,1,1,0,1,0,10,11,6,40,160000,150000,都営新宿線,岩本町駅,5,150000,10000,0,150000
東京メトロ有楽町線麹町駅地下2地上9階建築1年,東京都,千代田区,麹町３,1,1,0,1,0,1,9,5,36,220000,440000,東京メトロ有楽町線,麹町駅,2,220000,0,220000,220000
プレシス東神田,東京都,千代田区,東神田１,1,1,0,1,0,11,13,4,39,171000,330000,ＪＲ総武線快速,馬喰町駅,5,165000,6000,165000,165000
藤和シティホームズお茶の水,東京都,千代田区,外神田２,1,1,0,1,0,24,10,4,36,145000,290000,東京メトロ丸ノ内線,御茶ノ水駅,4,145000,0,145000,145000
ＪＲ総武線御茶ノ水駅10階建築24年,東京都,千代田区,外神田２,1,1,0,1,0,24,10,4,36,145000,290000,ＪＲ総武線,御茶ノ水駅,4,145000,0,145000,145000
東京メトロ丸ノ内線御茶ノ水駅10階建築24年,東京都,千代田区,外神田２,1,1,0,1,0,24,10,4,36,145000,290000,東京メトロ丸ノ内線,御茶ノ水駅,4,145000,0,145000,145000
東京メトロ東西線飯田橋駅5階建築1年,東京都,千代田区,飯田橋１,1,1,0,1,0,1,5,4,42,185000,0,東京メトロ東西線,飯田橋駅,3,175000,10000,0,0
